height,height_source,floors,lon,lat
4.2,estimated,1.0,12.501882447313955,41.885091740717336
5.7,estimated,1.0,12.499851756950752,41.901488379582325
4.4,estimated,1.2,12.468807635836116,41.88215320969227
4.1,estimated,1.1,12.468952025638028,41.882082794091836
4.1,estimated,1.2,12.468698706549938,41.88219709828852
4.5,estimated,1.2,12.468891933871209,41.88211248600541
4.2,estimated,1.3,12.468630655602848,41.882263460333654
5.8,estimated,1.1,12.486062506247443,41.89233916175162
5.0,estimated,1.1,12.487015237606807,41.893600163847424
5.8,estimated,1.1,12.487419539836134,41.89124648419231
5.0,estimated,1.2,12.465827407087255,41.89227266514433
10.1,estimated,2.8,12.490770748911183,41.879905661206216
14.1,estimated,1.3,12.503260220545917,41.895518847567736
10.0,estimated,1.5,12.484357868951344,41.89190019133116
6.4,estimated,2.3,12.48542202531757,41.88778203653812
0.8,osm,1.6,12.47851196239843,41.90096999667638
6.7,estimated,1.2,12.487617924005326,41.88692656564069
8.1,estimated,2.6,12.47396238055183,41.905638057651124
6.2,estimated,1.6,12.485963281156804,41.887398741222654
14.8,estimated,2.5,12.485424233706702,41.90258905329467
4.8,estimated,1.0,12.486730279520376,41.87884077561162
6.2,estimated,1.2,12.487734271161978,41.886968691315
4.6,estimated,1.2,12.485085760025532,41.89235547240647
12.4,estimated,1.5,12.485856593375948,41.8928415907763
9.8,estimated,1.4,12.484429468965946,41.89225359132733
5.5,estimated,1.1,12.487193650002451,41.89102559403963
5.9,estimated,1.1,12.487198304417376,41.89106626457892
5.7,estimated,1.1,12.487208149995606,41.89099204403663
5.3,estimated,1.0,12.499704234544566,41.901720001821715
7.1,estimated,1.1,12.486728600000037,41.891444644037804
12.0,estimated,1.5,12.486490777277421,41.89236604164316
3.9,estimated,1.1,12.484601724897535,41.89072015308541
7.9,estimated,2.0,12.497060421940562,41.90792923349589
10.3,estimated,1.3,12.485009836983732,41.89180024181535
4.9,estimated,1.1,12.485947868217087,41.88792587810262
6.3,estimated,2.1,12.485206442962589,41.88743303964637
4.6,estimated,1.0,12.449966911948628,41.90403500209117
6.0,estimated,1.5,12.488703298416588,41.88568230590791
3.8,estimated,1.0,12.507593671815716,41.886810863440125
5.2,estimated,1.1,12.487376123926511,41.887626428044506
4.6,estimated,1.0,12.486927429504084,41.87892652561708
9.5,estimated,1.5,12.48474756903406,41.89176589133409
4.0,estimated,1.1,12.458425642443705,41.91014353316795
6.0,estimated,1.2,12.489527144590243,41.89030053740656
6.4,estimated,1.8,12.490282710575533,41.87895511384892
6.2,estimated,1.6,12.490508927916053,41.87882771992982
3.8,estimated,1.1,12.492636957942558,41.88571818393297
6.4,estimated,1.4,12.488132957649958,41.88791211470297
5.1,estimated,1.1,12.485922233570413,41.89520649440993
13.4,estimated,1.5,12.484612899999966,41.89540609403949
5.2,estimated,1.1,12.486350249999937,41.88880649403666
6.3,estimated,2.0,12.496001173489226,41.88272439136241
5.9,estimated,1.3,12.487466173500781,41.88780401834807
5.8,estimated,1.3,12.48749462448163,41.88782807776283
6.7,estimated,1.2,12.484128456258121,41.895647277979556
10.1,estimated,1.3,12.485387797027016,41.89153893139994
6.4,estimated,1.1,12.486016787070575,41.89546204664505
5.6,estimated,1.0,12.499607657014558,41.901629629609666
5.4,estimated,1.2,12.48946622425872,41.88962978182103
3.0,osm,1.3,12.455206637092704,41.90182045406119
4.2,estimated,1.0,12.487569790204946,41.88789090452356
12.8,estimated,1.3,12.50571066260248,41.89398616329939
4.3,estimated,1.2,12.481556757202227,41.913691153393756
13.0,estimated,1.0,12.503459463796787,41.89823408620448
5.7,estimated,1.1,12.486774216453421,41.88886579284303
4.7,estimated,1.1,12.484933958333261,41.89231429608122
7.3,estimated,1.1,12.487518520993389,41.88752264032563
9.9,estimated,1.1,12.487504691479698,41.88753481814023
5.7,estimated,1.1,12.486388995899688,41.88893593090547
6.9,estimated,1.7,12.490884297598713,41.88490103662126
7.3,estimated,1.7,12.491014494566778,41.88491933004168
7.3,estimated,1.1,12.486291550320411,41.89227417762131
7.4,estimated,1.5,12.506125800375377,41.88505106959978
7.2,estimated,1.2,12.486660810789322,41.891640812323
4.4,estimated,1.2,12.484806560579727,41.89243426504864
5.0,estimated,1.1,12.486085662465758,41.888025254368436
3.9,estimated,1.2,12.456825806393697,41.88579418361789
6.1,estimated,1.1,12.498111562198215,41.902052589170154
10.1,estimated,1.4,12.484362468951723,41.892279391326795
